,EMBED_OUTPUT_DIM,USE_SPATIAL_DROPOUT,SPATIAL_DROPOUT,RNN_TYPE,RNN_LAYER_COUNT,RNN_OUT,RNN_DROPOUT,RECURRENT_DROPOUT,BATCH_SIZE,LEARNING_RATE,EPOCH,DATA_SIZE,METRIC,loss,mae,acc,fit_time,model_uuid,timestamp,bayes_metric
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,funny,0.077392243,0.273892075,0.909090936,4.687157631,e75a042be7e743c0a0cdc416c0315208,2019-08-04T21:04:50.678185,149.9222077
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,useful,0.22143352,0.463011503,0.272727281,5.038024426,448d8c5c93194530af45b47d41af8dba,2019-08-04T21:04:59.773177,149.2739281
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,100,cool,0.064101025,0.251228809,0.666666687,5.044273853,787464ba24534957a64421c87a935dc8,2019-08-04T21:05:08.903803,149.6600991
0,8,FALSE,0,LSTM,1,8,0,0,64,0.1,1,1000,stars,0.103808554,0.290430272,0.448484849,15.43124676,ec1110b07f0f4fc991b31990e4d8617c,2019-08-04T21:05:32.768751,146.87999220
0,8,False,0.06852195003967596,GRU,1,140,0.11403503992420576,0.0614658697546314,109,0.07346326981947482,4,10000,stars,,,0.0,464.3914816379547,42e568301c0b4a7e96b47188ffee05b3,2019-08-04T22:51:45.904441,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,10000,stars,,,0.0,469.5594434738159,b59fee58f5334820b68f7be7ffee83aa,2019-08-04T23:38:03.426783,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,10000,funny,,,0.0,468.0781261920929,62a7b63b1a744419a99287e5ce10e99c,2019-08-04T23:56:19.517189,
0,346,True,0.09,LSTM,2,83,0.26,0.07,225,0.28,4,10000,funny,,,0.0,735.2069528102875,72fafe19b7d3410188e5a6987dc55726,2019-08-05T00:11:36.586643,
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,172032,funny,,,0.0,287.43970584869385,2ff141c69f6d4e9aaa7b4851c5b04c14,2019-08-05T00:49:50.918279,
0,346,True,0.09,LSTM,2,83,0.26,0.07,225,0.28,4,102739,funny,0.04385117442812334,0.1941327392049448,0.0,522.5752775669098,3c422470a97040a689063e9d957eaed2,2019-08-05T01:00:44.101295,19.796684629864284
0,8,False,0.07,GRU,1,140,0.11,0.06,109,0.07,4,172032,funny,,,0.0,309.1365511417389,bfe0ded485ed4927bbc827f4d0bdaa21,2019-08-05T01:56:09.595530,
